id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3821155314135215,C8SlthlL1,5078867081,尚汇城,#尚道#妈妈，不要！妈妈，要是皮诺曹变得真诚了，我也变成了一个真正的孩子，我可以回家吗？——《人工智能》,,,,尚道,0,0,2,2015-03-16 22:58,微博 weibo.com,['https://ww1.sinaimg.cn/large/005xIpkZgw1eq7fegmqt1j30go0a7wf3.jpg'],,
3821149274547463,C8SbJj50b,1862172703,集微网官方微博,【三星力挺物联网开放标准寄望新人工智能技术】在2013年，三星便曾宣布为推动物联网开放生态系统提供1亿美元资金，加上最新另外再提出1亿美元，分析师认为，三星最终目的是希望借由物联网，搜集智能家庭、汽车与穿戴式装置的人工智能技术，进一步发展更实用产品。O三星力挺物联网开放标准　寄望新人工智能技术,,,,,8,2,5,2015-03-16 22:34,微博 weibo.com,['https://ww2.sinaimg.cn/large/6efe801fgw1eq7hcm5u2ej20ci08cjrm.jpg'],,
3821138415302076,C8RUdmfjm,3869299267,赢足100FUN,#足球推介##竞彩推荐#【爆庄推介】2015年盈利系数飙升！由Score体育独立开发的Vbet数据系统，进行实时指数分析筛选，将合适的选项进行发送！Vbet数据系统以发挥稳定盈利而闻名，人工智能运作水准一直保持得非常理想！在个别场次基本面资讯匮乏的情况之下，【爆庄推介】可以轻松通过数据层面征服赛事！,,,,足球推介,0,0,0,2015-03-16 21:50,皮皮时光机,['https://ww3.sinaimg.cn/large/e6a0d243jw1eq7wsojyxmj20fk0bqwik.jpg'],,
3820775993663937,C8ItFfn9L,3869299267,赢足100FUN,#足球推介##竞彩推荐#【爆庄推介】2015年盈利系数飙升！由Score体育独立开发的Vbet数据系统，进行实时指数分析筛选，将合适的选项进行发送！Vbet数据系统以发挥稳定盈利而闻名，人工智能运作水准一直保持得非常理想！在个别场次基本面资讯匮乏的情况之下，【爆庄推介】可以轻松通过数据层面征服赛事！,,,,足球推介,0,0,0,2015-03-15 21:50,皮皮时光机,['https://ww4.sinaimg.cn/large/e6a0d243jw1eq6r68gympj20fk0bqwik.jpg'],,
3820442060218822,C8zN40UVo,1761189830,海鲜君,#ALDNOAH.ZERO#第二季10这集不韩剧了枪战帅得不要不要的！果然斯雷因跟伊奈帆一见面就打，学霸晕了还有人工智能可以代理身体这设定有点吊小库兰好腹黑哇一见面就把最尖锐的问题提出来了塔妹跟皇帝那边的问题，最后面救公主也蛮帅，目前还不是未婚夫看起来还没辣么狗血，这个星期蹲了直播值了！,,,,ALDNOAH.ZERO,2,6,4,2015-03-14 23:43,搜狗高速浏览器,"['https://ww2.sinaimg.cn/large/68f99fc6gw1eq5oo13oypj20yb4ra1kx.jpg', 'https://ww2.sinaimg.cn/large/68f99fc6gw1eq5oomx2l4j20zh0jpq8b.jpg', 'https://ww3.sinaimg.cn/large/68f99fc6gw1eq5oooshxqj20zq0jygqo.jpg', 'https://ww4.sinaimg.cn/large/68f99fc6gw1eq5oor3lblj20oj0e1gn6.jpg', 'https://ww2.sinaimg.cn/large/68f99fc6gw1eq5oote2m2j20ze0jygnr.jpg', 'https://ww4.sinaimg.cn/large/68f99fc6gw1eq5oovh5lhj20yg0iv408.jpg', 'https://ww3.sinaimg.cn/large/68f99fc6gw1eq5op7mtmnj20mt0dlmya.jpg', 'https://ww4.sinaimg.cn/large/68f99fc6gw1eq5opavdozj20yr0k00xy.jpg', 'https://ww4.sinaimg.cn/large/68f99fc6gw1eq5opdcotoj20zk0jrabc.jpg']",,
3820413706782458,C8z3kssqu,3869299267,赢足100FUN,#足球推介##竞彩推荐#【爆庄推介】2015年盈利系数飙升！由Score体育独立开发的Vbet数据系统，进行实时指数分析筛选，将合适的选项进行发送！Vbet数据系统以发挥稳定盈利而闻名，人工智能运作水准一直保持得非常理想！在个别场次基本面资讯匮乏的情况之下，【爆庄推介】可以轻松通过数据层面征服赛事！,,,,足球推介,0,0,0,2015-03-14 21:51,皮皮时光机,['https://ww1.sinaimg.cn/large/e6a0d243jw1eq5lkcdfykj20fk0bqwik.jpg'],,
3820412167172777,C8z0Qu5XX,1642720480,爱范儿,【Cortana将于今年秋季登录iOS与Android】路透社独家报道，WindowsPhone上著名的人工智能助手Cortana，将携带全新的功能降临iOS与Android平台。新版Cortana将搭载微软最新研发的人工智能引擎，内部代号为“爱因斯坦”Einstein。O今个秋天你就能在iPhone和Android上使用Cortana,,,,,17,16,16,2015-03-14 21:45,微博 weibo.com,['https://ww3.sinaimg.cn/large/61e9ece0gw1eq5kly6vogj20c810ljx4.jpg'],,
3820077864688960,C8qjEjFOo,2116766487,段不花公子,比尔盖茨曾称赞奇点大学校长雷·库兹韦尔为“预测人工智能最准的未来学家”，过去30年，他对未来预测的准确率超过86%。今年他发表最新研究结果，2029年，机器将达到人类的智能水平；2045年，人与机器将深度融合[震惊]那个时候我已经55岁了。@钱道网官方微博@内蒙古钱道网,,呼和浩特·武警小区,"钱道网官方微博,内蒙古钱道网",,1,2,1,2015-03-13 23:36,HTC One (M8 EYE),,,
3819719490437849,C8gZD1PU5,1896877835,徐昕泉,我在爱奇艺看了《硅谷峰会：智能机器人&对话沃兹尼亚克》，非常精彩，分享给大家！距离曾在月球漫步者机器人开发中心的研读岁月，今天的人工智能机器人发展已经一日千里，潘多拉盒子打开，未来已来，人类如何与机器人世界和谐共荣?L硅谷峰会：智能机器人&对话沃兹尼亚克,,,,,3,1,7,2015-03-12 23:52,微博视频号,,,
3819705300839535,C8gCK3woT,2110482203,卤树懒,鉴于最近大白暖遍全球，也推荐个细思极恐的小白Blinky，2012年的短片「坏机器人BadRobot」。看完之后会心塞，恐怖的永远不仅是失控暴走的人工智能，更是一个破碎的家庭给孩子内心带来的人格扭曲。,,,,,0,0,1,2015-03-12 22:56,iPhone客户端,"['https://ww4.sinaimg.cn/large/7dcb671bjw1eq3c79rj1ij20be06mdg4.jpg', 'https://ww1.sinaimg.cn/large/7dcb671bjw1eq3c79z1jtj20bj06kt98.jpg', 'https://ww2.sinaimg.cn/large/7dcb671bjw1eq3c79c95cj20bn06lgm4.jpg']",,
